user_id,comment
@GeraldCooney,"anehnya pecinta sound horeg, kalau pake genre musik lain selain koplo mereka merasa terganggu"
@Supersonicec,"maaf kak, acara sound horeg itu juga melalui jalur hukum yg sah, mengurus perizinan dari tingkat RT sampe polres, mulai pucuk Sampek akar²nya, kalau di bilang SDM rendah kurang cocok sih! lagian suara yg dihasilkan rata² 110db di masih batas aman, dan rental pun juga punya SOP. Yang membuat budek itu frekuensi tinggi ya, melebihi 20.000 hz atau 150db keatas. Dan yg di namakan horeg' = getaran' ialah suara frekuensi rendah yg dihasilkan oleh subwoofer.
Subwoofer sendiri menghasilkan frekuensi rendah 25hz sampai 75hz dan desibel yg di hasilkan pun 75db sampai 80db, yang membuat suara sampai 110db ialah 'line array' speaker yg menghasilkan frekuensi tinggi, speaker Yang menghasilkan suara seperti contoh: vokal, trompet dll. Yah pokoknya melody frekuensi tinggi lah..
jadi horeg itu tidak seperti yang orang² bayangkan, yg katanya bikin budek, bikin ini, itulah, apalah. Kalau ngomongin SDM ya liat aja peralatan sound horeg itu sendiri gimana cara kerjanya
SDM rendah itu sebenarnya, orang yg kebelet hate komen tanpa tau fakta dilapangan! Liat aja komentar para netizen si paling SDM dari cara penyampaiannya aja udah keliatan, dari balas komen, atau bahkan rasis bawa² suku.
 dan terlihat dari banyaknya hujatan jadi tau kenapa kok Indonesia ini sdmnya dikatakan rendah
Ingat sound horeg adalah ekonomi kreatif yg bisa memutar roda perekonomian warga, terdapat ribuan UMKM yg berputar roda perekonomiannya di 1 acara ini.

Baca yg teliti jgn minim literasi!
ngomongin soal keganggu ya pasti ada, tapi ini acara bukan tiap hari dan tidak ilegal mereka menggelar acara ini 100% legal dan sudah lewat jalur prosedur hukum yg sah.
Kalau ngomongin soal hukum 100% anda salah.
Menghakimi harus mendengarkan aspirasi dan berbagai sudut pandang banyak pihak, dan itu di jadiin satu di saring, di pertimbangkan lagi, contoh dari sektor ekonomi saja 1 kali event, itu berapa ratus juta atau bahkan milyaran uang yg berputar mulai kang parkir, rental sound, tranport. salon kecantikan, rental kostum, rental lighting, fotografer, vidio shooting, para konten kreator, dan para pedagang mulai penjual makanan, minuman,mainan anak, dan bahkan penjual kaos, topi dll bahka ""maaf sebelumnya"" pemulung pun juga ikut merasakan dampak positif dari acara ini.
SDM tinggi itu sangat kritis tidak memandang dari 1sisi sudut pandang atau bahkan cuma lihat dari potongan vidio
Btw konten kreator kek gini kok banyak yg subscribe sih?

Lho tu konten kreator bre..
Lho gak boleh lihat dari 1 sudut pandang
Kalau mengkaji langsung dilokasi bro...
90% dari kegiatan ini itu positif

Hmmm dari sini keliatan sdm stevenyoung
Pasti iq 78 juga

SDM rendah biasanya males baca segini panjangnya"
@throttlebrah,"Seharusnya setiap content creator yg fokus ke reaction bikin konten² serius gini jg supaya orang tau kalau content creator ini bukan org ""konyol"""
@NATARoam,"Pro: kalo digunakan di tempat lapang
Kontra: kalau digunakan di jalan kampung"
@hisyamarif156,"Gua sesuka apapun sama suatu lagu, gua selalu mendengarkan pake headset. Mau itu lagu yg lg trending, mau itu lagu sejuta umat, gua tetep pake headset. Karena gua mikir selera lagu orang-orang beda-beda, gua khawatir kalo gua nantinya ngeganggu orang lain."
@mk_reall,"Betul ini mah, di desaku yang kemaren sama kepdes dilarang malah kepdesnya setiap hari kena hujatan + kata2 pedas sama pemuda2. Dengan alibi pemuda mau kompak tidak didukung pemerintahan blablabla wkwk. Lucu sih emang haha. Tapi jujurli sebagai orang yang jarang dirumah dan dirumah hanya ingin tidur dan istirahat jadi terganggu ."
@antodwi2796,"Aku jowo Yo Ndak gedugo, opo maneh wayah ulan romadhon, jam 00.00 der sampe imsak ,"
@yohanes2559,"Sound horeg emg kebanyakan dari Jawa timur tapi itu bukan tradisi org Jawa timur itu aslinya tradisi org Madura, karna org Madura banyak yg menetap di Jatim ya jadi begitu, org asli Jatim sendiri gk suka tradisi sound horeg malah gk ikutan"
@Daff228,"Sejujurnya aku masih bingung harus pro atau kontra, aku paham betapa mengganggunya sound horeg ini, tapi di lain sisi aku juga paham keseruannya dengerin musik dengan volume tinggi, menurutku harus ada regulasi dari pemerintah baik pusat maupun daerah yang ngatur soal sound horeg ini, contohnya kaya ""ada daerah khusus buat sound horeg lewat, gak boleh lewat di jam jam dan di hari hari tertentu, pembatasan volume musik, dll"""
@에빈아난다,pernah sekali lewat pas acara sound2 gini tuh. mobil brio aja yg dalem sampe getar saking kekencengan. trus jantung tuh kaya sakit jedag jedug banget gtu sumpah. gak ada untungnya
