user_id,comment
,Next bahas apa lagi nih enaknya di #VERSPEKTIF?
@a.idris11,"Menormalisasi hal yang tidak baik dan berlebihan, menurutku sih kebalikan dari keren."
,Inilah media yang sesungguhnya  jos.. langsung ke sumbernya bukan hanya asal comot video entah dari mana dan ber asumsi sendiri.
@kimagella1993,"Dulu ketika ada media yg memberitakan, bahawa iq rata-rata orang Indonesia itu 78, saya gak percaya, saya merasa itu berita itu cuma framing dari pihak luar, tapi sekarang saya percaya,"
@badangtiktok-e8t,"Saya dari Blitar Jawa Timur apa yang di bicarakan dengan mas kholid memang benar . terutama untuk wilayah malang memang pusat,nya sound horeg"
@Cyan_Nightingale,"Biar sudut pandangnya lengkap & berimbang harusnya Volix Media wawancarai juga perspektif warga yg kena suara sound horeg yg punya anak bayi atau orang dg riwayat penyakit jantung, pengamat musik, pengamat sosiologi, dan para sound engineer terkait fenomena ini. Ini cuma dari sisi pemilik & penggemar horeg nya aja. Jelas bias. Soal ganti ruginya aja gak ada. Malah ada ibu-ibu di Pati dikeroyok karena protes suara truk Horeg. Bedakan pula hobi audio sungguhan (audiophile) dengan hobi ngisruh bernama horeg ini."
@tomyg2835,"intinya di empati, wajar sudah pada kesetanan gapunya empati. ketika nyalain musik dalam pikirannya gak ada terbesit ""apa tetangga terganggu ya? , apa suara ini gak terlalu kencang?"" trus difikir dengan logika. tapi masalahnya para penikmat sound horge gapunya empati. menjunjung tinggi hiburan tanpa memikirkan , dan fokus pada ego sendiri. hatinya sudah mati, karena gengsi dan kebanggaan yg semu dan sesaat. sdm rendah mana paham tentang empati, yang penting kan ngegas hidupnya :)"
@khoirullmukhlisin6233,"Undang-Undang Nomor 1 Tahun 2011 tentang Perumahan dan Kawasan Permukiman:

Pasal 49 ayat (1): Mengatur tentang kegiatan yang tidak mengganggu fungsi hunian, termasuk soal suara, bau, suhu, dan sampah.

Pasal 150 ayat (2): Menetapkan sanksi bagi pemilik tempat usaha yang mengganggu kenyamanan lingkungan hunian.

Undang-Undang Nomor 23 Tahun 2007 tentang Pengelolaan Lingkungan Hidup:
Pasal 104: Mengatur tentang pencemaran lingkungan, termasuk polusi suara.
Pasal 109: Menetapkan sanksi pidana bagi pelaku pencemaran lingkungan.

Undang-Undang Nomor 22 Tahun 2009 tentang Lalu Lintas dan Angkutan Jalan:
Pasal 287: Mengatur tentang larangan membuat suara bising yang mengganggu ketertiban umum."
@ariaone7358,"06:05 bahaya banget kalimat 'dikawal kepolisian', kedepannya bakal ada kalimat horeg dipakai presiden buat kampanye akbar & pelantikan. Orang2 awam bakal mengira horeg ini resmi padahal banyak aturan yg ditabrak demi berlangsungnya acara, sekelas toa masjid aja ada aturannya loh. Potensi benturan di masyarakat sangat besar apalagi yg kontra udah mulai berani bersuara.

 percayalah yg nyawer bukan yg gentengnya rontok, tapi penonton atau maniak2 penyembah horeg. Saweran bukan berarti pemilik rumah seneng rumahnya dirontokkan. Emang diganti dari panitia, tapi uang ganti rugi gak sesuai dgn jumlah kerugian. Proses negoisasi ganti rugi dikelilingi preman2 yg mulutnya bau ciu, pemilik rumah gak berani nuntut lebih karena takut diintimidasi. Saya bisa bilang begini karena saya sendiri bantu saat negoisasi rumah saudara yg rontok karena horeg.

Pemkab malang sekarang cari muka ke massa horeg demi meraih simpati publik karena bupati nyalon periode kedua. Sound horeg ini ditunggangi jadi kendaraan politik gara2 arema fc udah gak menjanjikan buat ditunggangi. Bupati gak perlu janji2 manis saat kampanye, cukup ijin horeg dibuat los dol liar pasti bupati bisa bikin dinasti politik. Warga kabupaten gak butuh pembangunan, butuhnya cuma horeg."
@chococheeze1695,"Lebih banyak mudharat nya sih, saya melihat fenomena ini tidak meningkatkan kualitas manusianya tapi lebih ki ngomporin ego. Dan digunakan untuk kepentingan-kepentingan golongan saja."
@nikenyuniarti7020,Ini bukti orang Indonesia semakin egois mencari kesenangan tanpa mempedulikan akibatnya terhadap lingkungan sekitarnya.
@RezaTri,"Salah satu cara untuk menjadi orang nir-empati adalah gabung dan menikmati sound horeg. 

Sebagai wong asli malang, aku isin poll…"
@SuperGigaleon,"Ini siapa sih yg nyewa sampe jakarta? Kan normalnya di malang, yah? di Jakarta sini ga normal & ganggu, Mas! Kami sibuk kerja & stress!... Si narsumnya jg ga paham kena sarkas."
@Makiichii,Makasih sudut pandangnya. Sekarang saya tau stereotipe Jatim sebagai Jawir paling gatau malu emang bener wkwk
@Dewo2817,Ya sampean bilang gitu. Yg sampean lihat pihak penyewa. Pernah gak pean melihat warga yg mlh ketimpa musibah. Tetanggaq ibunya sampe mininggal dunia. Mau protes gak berani karna lbh banyak peminatnya ketimbang yg gak minat. Itu gmn? Cuman omong kosong kl orang rumahnya rusak itu bahagia mas.  Kl orang gila gua percaya. Tp kl orang otaknya waras jelas enggak
